cat_id;name
18;Adults Jiu-Jitsu Men -56 kg
25;Adults Jiu-Jitsu Women -49 kg
480;Adults Contact Ju-Jitsu Women -70 Kg
3;Adults Duo Men
606;U21 Duo Men
5;Adults Duo Mixed
123;U18 Jiu-Jitsu Men -46 kg
124;U18 Jiu-Jitsu Men -50 kg
125;U18 Jiu-Jitsu Men -55 kg
126;U18 Jiu-Jitsu Men -60 kg
129;U18 Jiu-Jitsu Men -81 kg
130;U18 Jiu-Jitsu Men +81 kg
128;U18 Jiu-Jitsu Men -73 kg
127;U18 Jiu-Jitsu Men -66 kg
145;U21 Jiu-Jitsu Men +94 kg
140;U21 Jiu-Jitsu Men -62 kg
141;U21 Jiu-Jitsu Men -69 kg
142;U21 Jiu-Jitsu Men -77 kg
143;U21 Jiu-Jitsu Men -85 kg
144;U21 Jiu-Jitsu Men -94 kg
138;U18 Jiu-Jitsu Women +70 kg
131;U18 Jiu-Jitsu Women -40 kg
132;U18 Jiu-Jitsu Women -44 kg
133;U18 Jiu-Jitsu Women -48 kg
134;U18 Jiu-Jitsu Women -52 kg
135;U18 Jiu-Jitsu Women -57 kg
136;U18 Jiu-Jitsu Women -63 kg
146;U21 Jiu-Jitsu Women -49 kg
148;U21 Jiu-Jitsu Women -62 kg
149;U21 Jiu-Jitsu Women -70 kg
19;Adults Jiu-Jitsu Men -62 kg
20;Adults Jiu-Jitsu Men -69 kg
21;Adults Jiu-Jitsu Men -77 kg
22;Adults Jiu-Jitsu Men -85 kg
23;Adults Jiu-Jitsu Men -94 kg
26;Adults Jiu-Jitsu Women -55 kg
27;Adults Jiu-Jitsu Women -62 kg
28;Adults Jiu-Jitsu Women -70 kg
460;Adults Show Men
463;Adults Show Mixed
466;U18 Show Men
464;U18 Show Mixed
465;U18 Show Women
467;U21 Show Men
469;U21 Show Mixed
4;Adults Duo Women
30;Adults Show Men
32;Adults Show Mixed
31;Adults Show Women
29;Adults Jiu-Jitsu Women +70 kg
139;U21 Jiu-Jitsu Men -56 kg
137;U18 Jiu-Jitsu Women -70 kg
150;U21 Jiu-Jitsu Women +70 kg
147;U21 Jiu-Jitsu Women -55 kg
349;Adults Para Jiu-Jitsu Men -62 kg
